run,epoch,loss,calibration_auc
raw,1,0.35100792700594124,0.9442074569609746
raw,2,0.182849628275091,0.9613597911308488
raw,3,0.09504236294464631,0.9621943851164505
raw,4,0.05454756671732122,0.96787348567594
raw,5,0.03146220012144609,0.9690599914723446
raw,6,0.01850119685246186,0.9681429764632814
raw,7,0.020647323978218165,0.9682841305782646
raw,8,0.018592364476485684,0.9644608010155308
raw,9,0.01660901140421629,0.9662021885053174
raw,10,0.01559606330384585,0.9657629882877777
raw,11,0.012868475253609095,0.9679734292791924
raw,12,0.012759386913173578,0.9681716940246056
raw,13,0.008614680617624385,0.9663327966232043
raw,14,0.012115974701009691,0.9698064858206634
raw,15,0.0087059458125044,0.9700969063560887
raw,16,0.008000463126650589,0.9697430475919757
raw,17,0.006327019657262347,0.9711484233896588
raw,18,0.0090082719985565,0.9685072189783815
raw,19,0.008431804965419525,0.9702680760012694
raw,20,0.00732714778278023,0.9704124750384361
raw,21,0.0057767713167281316,0.9697824733965056
raw,22,0.0030841452947987075,0.9701235147179934
raw,23,0.002241356710543517,0.9699370939385501
raw,24,0.0027196389739401637,0.9714041232577202
raw,25,0.005026039687006481,0.9695084397181071
raw,26,0.0052865496323316954,0.9693155290942969
raw,27,0.00699965680250898,0.96924008465353
raw,28,0.010822261291005733,0.9689512865791966
raw,29,0.008197950408793985,0.9655201058623414
raw,30,0.008839874397116629,0.9663366905298243
raw,31,0.006947684464764527,0.969101850968512
raw,32,0.00518695873060179,0.9682964612825621
raw,33,0.006054274009710008,0.9692024435562011
raw,34,0.005615545032461258,0.9688109436947592
raw,35,0.007365700691430406,0.9699494246428476
raw,36,0.005622869539497928,0.9690074237329716
raw,37,0.006130209712798453,0.9684765544637475
raw,38,0.004833580667830326,0.9675121635908048
raw,39,0.003696491489906541,0.9664411770241337
raw,40,0.0018533954179888084,0.9672696056575866
raw,41,0.0008780510384398935,0.9687246287646776
raw,42,0.001378581101678058,0.9683856966426089
raw,43,0.0007322210946850564,0.9687926098844225
raw,44,0.0004808942415613935,0.9692214263509745
raw,45,0.0005235607664375989,0.968659568074898
raw,46,0.00024494333523431455,0.9689219200334357
raw,47,0.00021400723317955536,0.9686035931672322
raw,48,0.00014455141737760807,0.9690444158458635
raw,49,0.00021558355001616292,0.9699507226117211
raw,50,0.0001905876979104836,0.9694990294437748
raw,51,0.00021365599452771922,0.9698008072068423
raw,52,0.00012735490990135903,0.9700532621527204
raw,53,0.0007644541512656195,0.9703272958311187
raw,54,0.004576462146889588,0.9690898447564329
raw,55,0.008268061169655994,0.9639974261277239
raw,56,0.014750373345503415,0.9640400968544374
raw,57,0.012964083618399772,0.9668545801103144
raw,58,0.007842900659042326,0.9666316539563067
raw,59,0.007768995503217659,0.9669027672047396
raw,60,0.00664480368194001,0.9670534938401641
adapted,1,0.3833079619841142,0.9390191508817426
adapted,2,0.19752296073870226,0.9572523686309478
adapted,3,0.09892986443909732,0.960162739337348
adapted,4,0.051397192173383455,0.9617342551508272
adapted,5,0.03279175621203401,0.9626352077950819
adapted,6,0.022909316302023152,0.9623011430562883
adapted,7,0.01365756305696612,0.9629368233120401
adapted,8,0.015947642947801134,0.9615473476330564
adapted,9,0.016110523045063017,0.9603279058764892
adapted,10,0.016701391322368926,0.9590839649574364
adapted,11,0.014648798713460564,0.9625242314564055
adapted,12,0.009625888711095534,0.9632671563903226
adapted,13,0.012981180516494946,0.9619964448632558
adapted,14,0.009494411763311787,0.961136864976841
adapted,15,0.014680948152884163,0.9613961342593043
adapted,16,0.010094009001146664,0.9615872601759138
adapted,17,0.008072911217724058,0.9640897441638452
adapted,18,0.00807885593755848,0.9647934055393418
adapted,19,0.007447115936189551,0.9632356806451425
adapted,20,0.00448457578366453,0.9607520172058754
adapted,21,0.00791134720731696,0.9629859838831205
adapted,22,0.004858618468808179,0.964235278923776
adapted,23,0.00514755867823789,0.9637157668821944
adapted,24,0.003509845889427445,0.9631328166119247
adapted,25,0.004246845026500523,0.9635415145609393
adapted,26,0.0038036752338732847,0.9637050586389887
adapted,27,0.00608975739239461,0.9632536899632609
adapted,28,0.007726055093702267,0.9615806080854374
adapted,29,0.008382366572252728,0.960577440392402
adapted,30,0.0053501763941974124,0.9641598344830091
adapted,31,0.006273247282528742,0.9639609207531593
adapted,32,0.004514815862586891,0.9650461849774381
adapted,33,0.0036143104709811845,0.963483105961636
adapted,34,0.003500173367369412,0.9634777518400333
adapted,35,0.00342848665102131,0.9618578866860192
adapted,36,0.011899230442412029,0.9610974391723113
adapted,37,0.012582852376032282,0.9606572654781165
adapted,38,0.011340881245930426,0.9602049233257337
adapted,39,0.005038207378873432,0.9627100032514121
adapted,40,0.005429915748854083,0.9629937716963609
adapted,41,0.005162239726103673,0.9629434754025163
adapted,42,0.0026719574763608925,0.9632895463533888
adapted,43,0.003102191637100821,0.9647565756725588
adapted,44,0.003018590309445492,0.9636007343907886
adapted,45,0.0021364599392241375,0.9630028574784748
adapted,46,0.0016657615448242393,0.962905185320751
adapted,47,0.0016825144840616057,0.9617946107034406
adapted,48,0.0017694950439776718,0.9620821108089007
adapted,49,0.0030308171156899666,0.9592434528827564
adapted,50,0.005137629373612898,0.9618663234836965
adapted,51,0.0037735919711518696,0.9616844455953102
adapted,52,0.002597990949024362,0.9642278156027541
adapted,53,0.004192089991622858,0.9623378106769621
adapted,54,0.008682803940874608,0.9611821316413012
adapted,55,0.005726597175552425,0.9606744635656892
adapted,56,0.003716174058552662,0.9613464869498963
adapted,57,0.0031963892246660015,0.9608866814764914
adapted,58,0.004569233729588715,0.961113988275447
adapted,59,0.002794266265647655,0.9612528709449017
adapted,60,0.0035827691136298447,0.9614530826436253
